Title,Full Name,Last,First,District,Party,ID
Representative,Janet Ancel,Ancel,Janet,Washington-6,Democrat,14580
Representative,Peter Anthony,Anthony,Peter,Washington-3,Democrat,30969
Representative,Sarita Austin,Austin,Sarita,Chittenden-9-2,Democrat,30952
Representative,Robert Bancroft,Bancroft,Robert,Chittenden-8-3,Republican,23994
Representative,John L. Bartholomew,Bartholomew,John L.,Windsor-1,Democrat,15769
Representative,Lynn Batchelor,Batchelor,Lynn,Orleans-1,Republican,15770
Representative,Christopher Bates,Bates,Christopher,Bennington-2-1,Democrat,30942
Representative,Scott Beck,Beck,Scott,Caledonia-3,Republican,23996
Representative,Matthew Birong,Birong,Matthew,Addison-3,Democrat,30938
Representative,Thomas Bock,Bock,Thomas,Windsor-3-1,Democrat,27182
Representative,Patrick Brennan,Brennan,Patrick,Chittenden-9-2,Republican,14549
Representative,Timothy Briglin,Briglin,Timothy,Windsor-Orange-2,Democrat,23998
Representative,Nelson Brownell,Brownell,Nelson,Bennington-1,Democrat,30941
Representative,Cynthia Browning,Browning,Cynthia,Bennington-4,Democrat,14585
Representative,Jessica Brumsted,Brumsted,Jessica,Chittenden-5-2,Democrat,27160
Representative,Thomas Burditt,Burditt,Thomas,Rutland-2,Republican,15771
Representative,Mollie S. Burke,Burke,Mollie S.,Windham-2-2,Progressive,14690
Representative,R. Scott Campbell,Campbell,R. Scott,Caledonia-3,Democrat,30946
Representative,William Canfield,Canfield,William,Rutland-3,Republican,14569
Representative,James Carroll,Carroll,James,Bennington-2-2,Democrat,30943
Representative,Seth Chase,Chase,Seth,Chittenden-9-1,Democrat,30951
Representative,Robin Chesnut-Tangerman,Chesnut-Tangerman,Robin,Rutland-Bennington,Progressive,23999
Representative,Annmarie Christensen,Christensen,Annmarie,Windsor-2,Democrat,27181
Representative,"Kevin ""Coach"" Christie",Christie,"Kevin ""Coach""",Windsor-4-2,Democrat,15774
Representative,Brian Cina,Cina,Brian,Chittenden-6-4,Progressive,27162
Representative,Sara Coffey,Coffey,Sara,Windham-1,Democrat,30971
Representative,Selene Colburn,Colburn,Selene,Chittenden-6-4,Progressive,27163
Representative,Peter Conlon,Conlon,Peter,Addison-2,Democrat,27155
Representative,Charles Conquest,Conquest,Charles,Orange-Caledonia,Democrat,14695
Representative,Sarah Copeland-Hanzas,Copeland-Hanzas,Sarah,Orange-2,Democrat,14567
Representative,Timothy R. Corcoran,Corcoran,Timothy R.,Bennington-2-1,Democrat,14546
Representative,Mari Cordes,Cordes,Mari,Addison-4,Democrat/Progressive,30939
Representative,Lawrence Cupoli,Cupoli,Lawrence,Rutland-5-2,Republican,20387
Representative,Carl Demrow,Demrow,Carl,Orange-1,Democrat,30963
Representative,Eileen Dickinson,Dickinson,Eileen,Franklin-3-2,Republican,14677
Representative,"Katherine ""Kari"" Dolan",Dolan,"Katherine ""Kari""",Washington-7,Democrat,30970
Representative,Anne B. Donahue,Donahue,Anne B.,Washington-1,Republican,14557
Representative,Johannah Donovan,Donovan,Johannah,Chittenden-6-5,Democrat,14534
Representative,David Durfee,Durfee,David,Bennington-3,Democrat,30944
Representative,Caleb Elder,Elder,Caleb,Addison-4,Democrat,30940
Representative,Alice M. Emmons,Emmons,Alice M.,Windsor-3-2,Democrat,14512
Representative,Peter J. Fagan,Fagan,Peter J.,Rutland-5-1,Republican,14686
Representative,Charen Fegard,Fegard,Charen,Franklin-5,Democrat,30957
Representative,Martha Feltus,Feltus,Martha,Caledonia-4,Republican,20375
Representative,Robert Forguites,Forguites,Robert,Windsor-3-2,Democrat,24005
Representative,Marianna Gamache,Gamache,Marianna,Franklin-4,Republican,24006
Representative,John Gannon,Gannon,John,Windham-6,Democrat,27179
Representative,Marcia Gardner,Gardner,Marcia,Chittenden-1,Democrat,27158
Representative,Dylan Giambatista,Giambatista,Dylan,Chittenden-8-2,Democrat,27165
Representative,Diana Gonzalez,Gonzalez,Diana,Chittenden-6-7,Progressive,24007
Representative,Kenneth Goslant,Goslant,Kenneth,Washington-1,Republican,30968
Representative,Maxine Grad,Grad,Maxine,Washington-7,Democrat,14536
Representative,Rodney Graham,Graham,Rodney,Orange-1,Republican,24008
Representative,James Gregoire,Gregoire,James,Franklin-6,Republican,30958
Representative,Sandy Haas,Haas,Sandy,Windsor-Rutland,Progressive,14573
Representative,James Harrison,Harrison,James,Rutland-Windsor-1,Republican,28878
Representative,Nader Hashim,Hashim,Nader,Windham-4,Democrat,30973
Representative,Robert Helm,Helm,Robert,Rutland-3,Republican,14515
Representative,Mark Higley,Higley,Mark,Orleans-Lamoille,Republican,14681
Representative,Matthew Hill,Hill,Matthew,Lamoille-2,Democrat,27170
Representative,Mary S. Hooper,Hooper,Mary S.,Washington-4,Democrat,14688
Representative,Philip Jay Hooper,Hooper,Philip Jay,Orange-Washington-Addison,Democrat,27174
Representative,Robert Hooper,Hooper,Robert,Chittenden-6-1,Democrat,30948
Representative,Lori Houghton,Houghton,Lori,Chittenden-8-2,Democrat,27166
Representative,Mary E. Howard,Howard,Mary E.,Rutland-5-3,Democrat,27177
Representative,Kathleen James,James,Kathleen,Bennington-4,Democrat,30945
Representative,Stephanie Jerome,Jerome,Stephanie,Rutland-6,Democrat,30966
Representative,Kimberly Jessup,Jessup,Kimberly,Washington-5,Democrat,27178
Representative,Benjamin Jickling,Jickling,Benjamin,Orange-Washington-Addison,Independent,27175
Representative,Mitzi Johnson,Johnson,Mitzi,Grand Isle-Chittenden,Democrat,14552
Representative,John Killacky,Killacky,John,Chittenden-7-3,Democrat,30949
Representative,Charles Kimbell,Kimbell,Charles,Windsor-5,Democrat,27184
Representative,Warren F. Kitzmiller,Kitzmiller,Warren F.,Washington-4,Democrat,14540
Representative,Emilie Kornheiser,Kornheiser,Emilie,Windham-2-1,Democrat,30972
Representative,Jill Krowinski,Krowinski,Jill,Chittenden-6-3,Democrat,19342
Representative,Robert LaClair,LaClair,Robert,Washington-2,Republican,24009
Representative,Martin LaLonde,LaLonde,Martin,Chittenden-7-1,Democrat,24010
Representative,Diane Lanpher,Lanpher,Diane,Addison-3,Democrat,14667
Representative,Paul Lefebvre,Lefebvre,Paul,Essex-Caledonia-Orleans,Republican,24011
Representative,Felisha Leffler,Leffler,Felisha,Franklin-7,Republican,30959
Representative,William J. Lippert,Lippert,William J.,Chittenden-4-2,Democrat,14522
Representative,Emily Long,Long,Emily,Windham-5,Democrat,24012
Representative,Terence Macaig,Macaig,Terence,Chittenden-2,Democrat,14670
Representative,Michael Marcotte,Marcotte,Michael,Orleans-2,Republican,14568
Representative,Marcia Martel,Martel,Marcia,Caledonia-1,Republican,24014
Representative,James Masland,Masland,James,Windsor-Orange-2,Democrat,14523
Representative,Christopher Mattos,Mattos,Christopher,Chittenden-10,Republican,29153
Representative,Michael McCarthy,McCarthy,Michael,Franklin-3-1,Democrat,30954
Representative,Curtis McCormack,McCormack,Curtis,Chittenden-6-3,Democrat,20376
Representative,Patricia McCoy,McCoy,Patricia,Rutland-1,Republican,24015
Representative,James McCullough,McCullough,James,Chittenden-2,Democrat,14547
Representative,Francis McFaun,McFaun,Francis,Washington-2,Republican,14579
Representative,Leland Morgan,Morgan,Leland,Grand Isle-Chittenden,Republican,30960
Representative,Mary A. Morrissey,Morrissey,Mary A.,Bennington-2-2,Republican,14525
Representative,Michael Mrowicki,Mrowicki,Michael,Windham-4,Democrat,14598
Representative,Barbara Murphy,Murphy,Barbara,Franklin-2,Independent,24017
Representative,Linda K. Myers,Myers,Linda K.,Chittenden-8-1,Republican,14541
Representative,Logan Nicoll,Nicoll,Logan,Rutland-Windsor-2,Democrat,30967
Representative,Terry Norris,Norris,Terry,Addison-Rutland,Independent,28072
Representative,William Notte,Notte,William,Rutland-5-4,Democrat,30965
Representative,Daniel Noyes,Noyes,Daniel,Lamoille-2,Democrat,27171
Representative,John O'Brien,O'Brien,John,Windsor-Orange-1,Democrat,30977
Representative,Jean O'Sullivan,O'Sullivan,Jean,Chittenden-6-2,Democrat,18342
Representative,Carol Ode,Ode,Carol,Chittenden-6-1,Democrat,27161
Representative,Woodman Page,Page,Woodman,Orleans-2,Republican,30964
Representative,Kelly Pajala,Pajala,Kelly,Windham-Bennington-Windsor,Independent,29214
Representative,John Palasik,Palasik,John,Chittenden-10,Republican,30953
Representative,Carolyn W. Partridge,Partridge,Carolyn W.,Windham-3,Democrat,14527
Representative,Avram Patt,Patt,Avram,Lamoille-Washington,Democrat,30962
Representative,David Potter,Potter,David,Rutland-2,Democrat,14577
Representative,Ann Pugh,Pugh,Ann,Chittenden-7-2,Democrat,14530
